country,location_name,uv_index,Continent,day
Sri Lanka,Colombo,6,Asia,29
Sudan,Khartoum,8,Africa,29
Suriname,Paramaribo,1,America,29
Sweden,Stockholm,5,Europe,29
Switzerland,Bern,4,Europe,29
Syria,Damascus,8,Asia,29
Tajikistan,Dushanbe,8,Asia,29
Tanzania,Dodoma,6,Africa,29
Thailand,Bangkok,7,Asia,29
Indonesia,Murong Timor,8,Asia,29
Bulgaria,Lom,8,Europe,29
Tonga,Nuku`Aloia,1,Pacific,29
Trinidad and Tobago,Port Of Spain,1,America,29
Tunisia,Tunis,7,Africa,29
Turkey,Ankara,7,Europe,29
Turkmenistan,Ashgabat,8,Asia,29
Tuvalu,Funafuti,1,Pacific,29
Uganda,Kampala,6,Africa,29
Ukraine,Lviv,7,Europe,29
United Arab Emirates,Abu Dhabi,9,Asia,29
United Kingdom,London,5,Europe,29
United States of America,Washington Park,1,America,29
Uruguay,Montevideo,1,America,29
Uzbekistan,Tashkent,8,Asia,29
Vanuatu,Port Vila,1,Pacific,29
Venezuela,Caracas,1,America,29
Vietnam,Hanoi,8,Asia,29
Yemen,Sanaa,6,Asia,29
Zambia,Lusaka,5,Africa,29
Zimbabwe,Harare,5,Africa,29
Afghanistan,Kabul,6,Asia,30
Albania,Tirana,1,Europe,30
Algeria,Algiers,1,Africa,30
Andorra,Andorra La Vella,1,Europe,30
Angola,Luanda,1,Africa,30
Antigua and Barbuda,Saint John's,1,America,29
Argentina,Buenos Aires,1,America,29
Armenia,Yerevan,5,Asia,30
Australia,Canberra,5,Australia,30
Austria,Vienna,1,Europe,30
Azerbaijan,Baku,1,Asia,30
Bahamas,Nassau,1,America,29
Bahrain,Manama,1,Asia,30
Bangladesh,Dhaka,8,Asia,30
Barbados,Bridgetown,1,America,29
Belarus,Minsk,1,Europe,30
Belgium,Brussels,1,Europe,30
Belize,Belmopan,1,America,29
Benin,Porto-Novo,1,Africa,30
Bhutan,Thimphu,5,Asia,30
Bolivia,Sucre,1,America,29
Bosnia and Herzegovina,Sarajevo,1,Europe,30
Botswana,Gaborone,1,Africa,30
Brazil,Bras,1,America,29
Brunei Darussalam,Bandar Seri Begawan,8,Asia,30
Bulgaria,Sofia,1,Europe,30
Burkina Faso,Ouagadougou,1,Africa,30
Burundi,Bujumbura,1,Africa,30
Madagascar,Ivory,1,Indian,30
Cape Verde,Praia,1,Atlantic,30
Cambodia,Phnom Penh,8,Asia,30
Cameroon,Bafoussam,1,Africa,30
Canada,Ottawa,1,America,29
Central African Republic,Bangui,1,Africa,30
Chad,N'djamena,1,Africa,30
Chile,Santiago,1,America,29
China,Beijing,7,Asia,30
Bulgaria,Bogot,1,Europe,30
Comoros,Moroni,1,Indian,30
Congo,Brazzaville,1,Africa,30
Costa Rica,San Juan,1,America,29
Croatia,Zagreb,1,Europe,30
Cuba,Havana,1,America,29
Cyprus,Nicosia,1,Asia,30
Czech Republic,Prague,1,Europe,30
Democratic Republic of Congo,Kinshasa,1,Africa,30
Denmark,Copenhagen,1,Europe,30
Djibouti,Djibouti,7,Africa,30
Dominica,Roseau,1,America,29
Dominican Republic,Santo Domingo,1,America,29
Ecuador,Quito,1,America,29
Egypt,Cairo,1,Africa,30
El Salvador,San Salvador,1,America,29
Equatorial Guinea,Malabo,1,Africa,30
Eritrea,Asmara,1,Africa,30
Estonia,Tallinn,1,Europe,30
Swaziland,Mbabane,1,Africa,30
Ethiopia,Addis Ababa,1,Africa,30
Fiji Islands,Suva,6,Pacific,30
Finland,Helsinki,1,Europe,30
France,Paris,1,Europe,30
Gabon,Libreville,1,Africa,30
Gambia,Banjul,1,Africa,30
Georgia,Tbilisi,1,Asia,30
Germany,Berlin,1,Europe,30
Ghana,Accra,1,Africa,30
Greece,Athens,1,Europe,30
Grenada,Saint George's,1,America,29
Guatemala,Guatemala City,1,America,29
Guinea,Conakry,1,Africa,30
Guinea-Bissau,Bissau,1,Africa,30
Guyana,Georgetown,1,America,29
Haiti,Port-Au-Prince,1,America,29
Vatican City,Vatican City,1,Europe,30
Honduras,Tegucigalpa,1,America,29
Hungary,Budapest,1,Europe,30
Iceland,Hella,1,Atlantic,30
India,New Delhi,8,Asia,30
Indonesia,Jakarta,7,Asia,30
Iran,Tehran,1,Asia,30
Iraq,Baghdad,1,Asia,30
Ireland,Dublin,1,Europe,30
Israel,Jerusalem,1,Asia,30
Italy,Rome,1,Europe,30
Jamaica,Norman Gardens,1,America,29
Japan,Tokyo,8,Asia,30
Jordan,Amman,1,Asia,30
Kazakhstan,Astana,3,Asia,30
Kenya,Nairobi,1,Africa,30
Kiribati,Tarawa,6,Pacific,30
Kuwait,Kuwait City,8,Asia,30
Kyrghyzstan,Bishkek,6,Asia,30
Indonesia,Laos,7,Asia,30
Latvia,Riga,1,Europe,30
Lebanon,Beirut,1,Asia,30
Lesotho,Maseru,1,Africa,30
Liberia,Monrovia,1,Africa,30
Thailand,Nan,5,Asia,30
Liechtenstein,Vaduz,1,Europe,30
Lithuania,Vilnius,1,Europe,30
Luxembourg,Luxembourg,1,Europe,30
Madagascar,Antananarivo,1,Indian,30
Malawi,Lilongwe,1,Africa,30
Malaysia,Kuala Lumpur,7,Asia,30
Maldives,Farukolhufunadhoo,7,Indian,30
Mali,Bamako,1,Africa,30
Malta,Valletta,1,Europe,30
Marshall Islands,Majuro,6,Pacific,30
Mauritania,Nouakchott,1,Africa,30
Mauritius,Port Louis,6,Indian,30
Mexico,Mexico City,1,America,29
Micronesia,Palikir,6,Pacific,30
Russia,Chi-Chi-Erh,6,Asia,30
Monaco,Monaco,1,Europe,30
Mongolia,Ulaanbaatar,5,Asia,30
Montenegro,Podgorica,1,Europe,30
Morocco,Rabat,1,Africa,30
Mozambique,Maputo,1,Africa,30
Myanmar,Pathein,6,Asia,30
Namibia,Windhoek,1,Africa,30
Turkey,Yaren,1,Europe,30
Nepal,Kathmandu,5,Asia,30
Netherlands,Amsterdam,1,Europe,30
New Zealand,Wellington,3,Pacific,30
Nicaragua,Managua,1,America,29
Niger,Niamey,1,Africa,30
Nigeria,Abuja,1,Africa,30
North Korea,Pyongyang,5,Asia,30
Macedonia,Skopje,1,Europe,30
Norway,Oslo,1,Europe,30
Oman,Muscat,7,Asia,30
Pakistan,Islamabad,7,Asia,30
Palau,Adkip,1,Pacific,30
Bolivia,National,1,America,29
Panama,Panama City,1,America,29
Papua New Guinea,Port Moresby,7,Pacific,30
Paraguay,Carreria,1,America,29
Peru,Lima,1,America,29
Philippines,Manila,6,Asia,30
Poland,Warsaw,1,Europe,30
Portugal,Lisbon,1,Europe,30
Qatar,Doha,8,Asia,30
Romania,Bucharest,1,Europe,30
Russia,Moscow,1,Europe,30
Rwanda,Kigali,1,Africa,30
Saint Kitts and Nevis,Basseterre,1,America,29
Saint Lucia,Castries,1,America,29
Saint Vincent and the Grenadines,Kingstown,1,America,29
Samoa,Apia,6,Pacific,30
San Marino,San Marino,1,Europe,30
Belgium,'S-Gravenwezel,1,Europe,30
Saudi Arabia,Riyadh,1,Asia,30
Senegal,Dakar,1,Africa,30
Serbia,Belgrade,1,Europe,30
Seychelles Islands,Victoria,6,Indian,30
Sierra Leone,Freetown,1,Africa,30
Singapore,Singapore,6,Asia,30
Slovakia,Bratislava,1,Europe,30
Slovenia,Ljubljana,1,Europe,30
Solomon Islands,Honiara,6,Pacific,30
Somalia,Mogadishu,5,Africa,30
South Africa,Pretoria,1,Africa,30
South Korea,Seoul,6,Asia,30
Sudan,Juba,1,Africa,30
Spain,Madrid,1,Europe,30
Sri Lanka,Colombo,6,Asia,30
Sudan,Khartoum,1,Africa,30
Suriname,Paramaribo,1,America,30
Sweden,Stockholm,1,Europe,30
Switzerland,Bern,1,Europe,30
Syria,Damascus,1,Asia,30
Tajikistan,Dushanbe,6,Asia,30
Tanzania,Dodoma,1,Africa,30
Thailand,Bangkok,8,Asia,30
Indonesia,Murong Timor,8,Asia,30
Bulgaria,Lom,1,Europe,30
Tonga,Nuku`Aloia,5,Pacific,30
Trinidad and Tobago,Port Of Spain,1,America,29
Tunisia,Tunis,1,Africa,30
Turkey,Ankara,1,Europe,30
Turkmenistan,Ashgabat,7,Asia,30
Tuvalu,Funafuti,6,Pacific,30
Uganda,Kampala,1,Africa,30
Ukraine,Lviv,1,Europe,30
United Arab Emirates,Abu Dhabi,8,Asia,30
United Kingdom,London,1,Europe,30
United States of America,Washington Park,1,America,29
Uruguay,Montevideo,1,America,30
Uzbekistan,Tashkent,7,Asia,30
Vanuatu,Port Vila,5,Pacific,30
Venezuela,Caracas,1,America,29
Vietnam,Hanoi,8,Asia,30
Yemen,Sanaa,5,Asia,30
Zambia,Lusaka,1,Africa,30
Zimbabwe,Harare,1,Africa,30
Afghanistan,Kabul,1,Asia,31
Albania,Tirana,1,Europe,31
Algeria,Algiers,1,Africa,31
Andorra,Andorra La Vella,1,Europe,31
Angola,Luanda,1,Africa,31
Antigua and Barbuda,Saint John's,1,America,30
Argentina,Buenos Aires,1,America,30
Armenia,Yerevan,1,Asia,31
Australia,Canberra,3,Australia,31
Austria,Vienna,1,Europe,31
Azerbaijan,Baku,1,Asia,31
Bahamas,Nassau,8,America,30
Bahrain,Manama,1,Asia,31
Bangladesh,Dhaka,1,Asia,31
Barbados,Bridgetown,1,America,30
Belarus,Minsk,1,Europe,31
Belgium,Brussels,1,Europe,31
Belize,Belmopan,6,America,30
Benin,Porto-Novo,1,Africa,31
Bhutan,Thimphu,1,Asia,31
Bolivia,Sucre,1,America,30
Bosnia and Herzegovina,Sarajevo,1,Europe,31
Botswana,Gaborone,1,Africa,31
Brazil,Bras,1,America,30
Brunei Darussalam,Bandar Seri Begawan,7,Asia,31
Bulgaria,Sofia,1,Europe,31
Burkina Faso,Ouagadougou,1,Africa,30
Burundi,Bujumbura,1,Africa,31
Madagascar,Ivory,1,Indian,31
Cape Verde,Praia,1,Atlantic,30
Cambodia,Phnom Penh,7,Asia,31
Cameroon,Bafoussam,1,Africa,31
Canada,Ottawa,5,America,30
Central African Republic,Bangui,1,Africa,31
Chad,N'djamena,1,Africa,31
Chile,Santiago,1,America,30
China,Beijing,4,Asia,31
Bulgaria,Bogot,1,Europe,31
Comoros,Moroni,1,Indian,31
Congo,Brazzaville,1,Africa,31
Costa Rica,San Juan,5,America,30
Croatia,Zagreb,1,Europe,31
Cuba,Havana,7,America,30
Cyprus,Nicosia,1,Asia,31
Czech Republic,Prague,1,Europe,31
Democratic Republic of Congo,Kinshasa,1,Africa,31
Denmark,Copenhagen,1,Europe,31
Djibouti,Djibouti,1,Africa,31
Dominica,Roseau,1,America,30
Dominican Republic,Santo Domingo,1,America,30
Ecuador,Quito,4,America,30
Egypt,Cairo,1,Africa,31
El Salvador,San Salvador,6,America,30
Equatorial Guinea,Malabo,1,Africa,31
Eritrea,Asmara,1,Africa,31
Estonia,Tallinn,1,Europe,31
Swaziland,Mbabane,1,Africa,31
Ethiopia,Addis Ababa,1,Africa,31
Fiji Islands,Suva,5,Pacific,31
Finland,Helsinki,1,Europe,31
France,Paris,1,Europe,31
Gabon,Libreville,1,Africa,31
Gambia,Banjul,1,Africa,30
Georgia,Tbilisi,1,Asia,31
Germany,Berlin,1,Europe,31
Ghana,Accra,1,Africa,30
Greece,Athens,1,Europe,31
Grenada,Saint George's,1,America,30
Guatemala,Guatemala City,5,America,30
Guinea,Conakry,1,Africa,30
Guinea-Bissau,Bissau,1,Africa,30
Guyana,Georgetown,1,America,30
Haiti,Port-Au-Prince,6,America,30
Vatican City,Vatican City,1,Europe,31
Honduras,Tegucigalpa,5,America,30
Hungary,Budapest,1,Europe,31
Iceland,Hella,1,Atlantic,30
India,New Delhi,1,Asia,31
Indonesia,Jakarta,7,Asia,31
Iran,Tehran,1,Asia,31
Iraq,Baghdad,1,Asia,31
Ireland,Dublin,1,Europe,31
Israel,Jerusalem,1,Asia,31
Italy,Rome,1,Europe,31
Jamaica,Norman Gardens,7,America,30
Japan,Tokyo,7,Asia,31
Jordan,Amman,1,Asia,31
Kazakhstan,Astana,1,Asia,31
Kenya,Nairobi,1,Africa,31
Kiribati,Tarawa,6,Pacific,31
Kuwait,Kuwait City,1,Asia,31
Kyrghyzstan,Bishkek,1,Asia,31
Indonesia,Laos,6,Asia,31
Latvia,Riga,1,Europe,31
Lebanon,Beirut,1,Asia,31
Lesotho,Maseru,1,Africa,31
Liberia,Monrovia,1,Africa,30
Thailand,Nan,1,Asia,31
Liechtenstein,Vaduz,1,Europe,31
Lithuania,Vilnius,1,Europe,31
Luxembourg,Luxembourg,1,Europe,31
Madagascar,Antananarivo,1,Indian,31
Malawi,Lilongwe,1,Africa,31
Malaysia,Kuala Lumpur,1,Asia,31
Maldives,Farukolhufunadhoo,1,Indian,31
Mali,Bamako,1,Africa,30
Malta,Valletta,1,Europe,31
Marshall Islands,Majuro,6,Pacific,31
Mauritania,Nouakchott,1,Africa,30
Mauritius,Port Louis,1,Indian,31
Mexico,Mexico City,6,America,30
Micronesia,Palikir,6,Pacific,31
Russia,Chi-Chi-Erh,5,Asia,31
Monaco,Monaco,1,Europe,31
Mongolia,Ulaanbaatar,6,Asia,31
Montenegro,Podgorica,1,Europe,31
Morocco,Rabat,1,Africa,31
Mozambique,Maputo,1,Africa,31
Myanmar,Pathein,7,Asia,31
Namibia,Windhoek,1,Africa,31
Turkey,Yaren,1,Europe,31
Nepal,Kathmandu,4,Asia,31
Netherlands,Amsterdam,1,Europe,31
New Zealand,Wellington,4,Pacific,31
Nicaragua,Managua,7,America,30
Niger,Niamey,1,Africa,31
Nigeria,Abuja,1,Africa,31
North Korea,Pyongyang,6,Asia,31
Macedonia,Skopje,1,Europe,31
Norway,Oslo,1,Europe,31
Oman,Muscat,1,Asia,31
Pakistan,Islamabad,1,Asia,31
Palau,Adkip,1,Pacific,31
Bolivia,National,1,America,30
Panama,Panama City,6,America,30
Papua New Guinea,Port Moresby,6,Pacific,31
Paraguay,Carreria,1,America,30
Peru,Lima,5,America,30
Philippines,Manila,6,Asia,31
Poland,Warsaw,1,Europe,31
Portugal,Lisbon,1,Europe,31
Qatar,Doha,1,Asia,31
Romania,Bucharest,1,Europe,31
Russia,Moscow,1,Europe,31
Rwanda,Kigali,1,Africa,31
Saint Kitts and Nevis,Basseterre,1,America,30
Saint Lucia,Castries,1,America,30
Saint Vincent and the Grenadines,Kingstown,1,America,30
Samoa,Apia,7,Pacific,31
San Marino,San Marino,1,Europe,31
Belgium,'S-Gravenwezel,1,Europe,31
Saudi Arabia,Riyadh,1,Asia,31
Senegal,Dakar,1,Africa,30
Serbia,Belgrade,1,Europe,31
Seychelles Islands,Victoria,1,Indian,31
Sierra Leone,Freetown,1,Africa,30
Singapore,Singapore,1,Asia,31
Slovakia,Bratislava,1,Europe,31
Slovenia,Ljubljana,1,Europe,31
Solomon Islands,Honiara,6,Pacific,31
Somalia,Mogadishu,1,Africa,31
South Africa,Pretoria,1,Africa,31
South Korea,Seoul,5,Asia,31
Sudan,Juba,1,Africa,31
Spain,Madrid,1,Europe,31
Sri Lanka,Colombo,1,Asia,31
Sudan,Khartoum,1,Africa,31
Suriname,Paramaribo,1,America,30
Sweden,Stockholm,1,Europe,31
Switzerland,Bern,1,Europe,31
Syria,Damascus,1,Asia,31
Tajikistan,Dushanbe,1,Asia,31
Tanzania,Dodoma,1,Africa,31
Thailand,Bangkok,1,Asia,31
Indonesia,Murong Timor,6,Asia,31
Bulgaria,Lom,1,Europe,31
Tonga,Nuku`Aloia,5,Pacific,31
Trinidad and Tobago,Port Of Spain,1,America,30
Tunisia,Tunis,1,Africa,31
Turkey,Ankara,1,Europe,31
Turkmenistan,Ashgabat,1,Asia,31
Tuvalu,Funafuti,6,Pacific,31
Uganda,Kampala,1,Africa,31
Ukraine,Lviv,1,Europe,31
United Arab Emirates,Abu Dhabi,1,Asia,31
United Kingdom,London,1,Europe,31
United States of America,Washington Park,7,America,30
Uruguay,Montevideo,1,America,30
Uzbekistan,Tashkent,1,Asia,31
Vanuatu,Port Vila,6,Pacific,31
Venezuela,Caracas,1,America,30
Vietnam,Hanoi,6,Asia,31
Yemen,Sanaa,1,Asia,31
Zambia,Lusaka,1,Africa,31
Zimbabwe,Harare,1,Africa,31
Afghanistan,Kabul,1,Asia,1
Albania,Tirana,1,Europe,1
Algeria,Algiers,1,Africa,1
Andorra,Andorra La Vella,1,Europe,1
Angola,Luanda,1,Africa,1
Antigua and Barbuda,Saint John's,1,America,31
Argentina,Buenos Aires,1,America,31
Armenia,Yerevan,1,Asia,1
Australia,Canberra,3,Australia,1
Austria,Vienna,1,Europe,1
Azerbaijan,Baku,1,Asia,1
Bahamas,Nassau,8,America,31
Bahrain,Manama,1,Asia,1
Bangladesh,Dhaka,1,Asia,1
Barbados,Bridgetown,1,America,31
Belarus,Minsk,1,Europe,1
Belgium,Brussels,1,Europe,1
Belize,Belmopan,6,America,31
Benin,Porto-Novo,1,Africa,1
Bhutan,Thimphu,1,Asia,1
Bolivia,Sucre,1,America,31
Bosnia and Herzegovina,Sarajevo,1,Europe,1
Botswana,Gaborone,1,Africa,1
Brazil,Bras,1,America,31
Brunei Darussalam,Bandar Seri Begawan,6,Asia,1
Bulgaria,Sofia,1,Europe,1
Burkina Faso,Ouagadougou,1,Africa,31
Burundi,Bujumbura,1,Africa,1
Madagascar,Ivory,1,Indian,1
Cape Verde,Praia,1,Atlantic,31
Cambodia,Phnom Penh,6,Asia,1
Cameroon,Bafoussam,1,Africa,1
Canada,Ottawa,6,America,31
Central African Republic,Bangui,1,Africa,1
Chad,N'djamena,1,Africa,1
Chile,Santiago,1,America,31
China,Beijing,6,Asia,1
Bulgaria,Bogot,1,Europe,1
Comoros,Moroni,1,Indian,1
Congo,Brazzaville,1,Africa,1
Costa Rica,San Juan,5,America,31
Croatia,Zagreb,1,Europe,1
Cuba,Havana,7,America,31
Cyprus,Nicosia,1,Asia,1
Czech Republic,Prague,1,Europe,1
Democratic Republic of Congo,Kinshasa,1,Africa,1
Denmark,Copenhagen,1,Europe,1
Djibouti,Djibouti,1,Africa,1
Dominica,Roseau,1,America,31
Dominican Republic,Santo Domingo,1,America,31
Ecuador,Quito,3,America,31
Egypt,Cairo,1,Africa,1
El Salvador,San Salvador,6,America,31
Equatorial Guinea,Malabo,1,Africa,1
Eritrea,Asmara,1,Africa,1
Estonia,Tallinn,1,Europe,1
Swaziland,Mbabane,1,Africa,1
Ethiopia,Addis Ababa,1,Africa,1
Fiji Islands,Suva,5,Pacific,1
Finland,Helsinki,1,Europe,1
France,Paris,1,Europe,1
Gabon,Libreville,1,Africa,1
Gambia,Banjul,1,Africa,31
Georgia,Tbilisi,1,Asia,1
Germany,Berlin,1,Europe,1
Ghana,Accra,1,Africa,31
Greece,Athens,1,Europe,1
Grenada,Saint George's,1,America,31
Guatemala,Guatemala City,5,America,31
Guinea,Conakry,1,Africa,31
Guinea-Bissau,Bissau,1,Africa,31
Guyana,Georgetown,1,America,31
Haiti,Port-Au-Prince,6,America,31
Vatican City,Vatican City,1,Europe,1
Honduras,Tegucigalpa,7,America,31
Hungary,Budapest,1,Europe,1
Iceland,Hella,1,Atlantic,31
India,New Delhi,1,Asia,1
Indonesia,Jakarta,7,Asia,1
Iran,Tehran,1,Asia,1
Iraq,Baghdad,1,Asia,1
Ireland,Dublin,1,Europe,1
Israel,Jerusalem,1,Asia,1
Italy,Rome,1,Europe,1
Jamaica,Norman Gardens,7,America,31
Japan,Tokyo,7,Asia,1
Jordan,Amman,1,Asia,1
Kazakhstan,Astana,1,Asia,1
Kenya,Nairobi,1,Africa,1
Kiribati,Tarawa,6,Pacific,1
Kuwait,Kuwait City,1,Asia,1
Kyrghyzstan,Bishkek,1,Asia,1
Indonesia,Laos,5,Asia,1
Latvia,Riga,1,Europe,1
Lebanon,Beirut,1,Asia,1
Lesotho,Maseru,1,Africa,1
Liberia,Monrovia,1,Africa,31
Thailand,Nan,1,Asia,1
Liechtenstein,Vaduz,1,Europe,1
Lithuania,Vilnius,1,Europe,1
Luxembourg,Luxembourg,1,Europe,1
Madagascar,Antananarivo,1,Indian,1
Malawi,Lilongwe,1,Africa,1
Malaysia,Kuala Lumpur,1,Asia,1
Maldives,Farukolhufunadhoo,1,Indian,1
Mali,Bamako,1,Africa,31
Malta,Valletta,1,Europe,1
Marshall Islands,Majuro,6,Pacific,1
Mauritania,Nouakchott,1,Africa,31
Mauritius,Port Louis,1,Indian,1
Mexico,Mexico City,5,America,31
Micronesia,Palikir,7,Pacific,1
Russia,Chi-Chi-Erh,4,Asia,1
Monaco,Monaco,1,Europe,1
Mongolia,Ulaanbaatar,6,Asia,1
Montenegro,Podgorica,1,Europe,1
Morocco,Rabat,1,Africa,1
Mozambique,Maputo,1,Africa,1
Myanmar,Pathein,6,Asia,1
Namibia,Windhoek,1,Africa,1
Turkey,Yaren,1,Europe,1
Nepal,Kathmandu,6,Asia,1
Netherlands,Amsterdam,1,Europe,1
New Zealand,Wellington,4,Pacific,1
Nicaragua,Managua,7,America,31
Niger,Niamey,1,Africa,1
Nigeria,Abuja,1,Africa,1
North Korea,Pyongyang,5,Asia,1
Macedonia,Skopje,1,Europe,1
Norway,Oslo,1,Europe,1
Oman,Muscat,1,Asia,1
Pakistan,Islamabad,1,Asia,1
Palau,Adkip,1,Pacific,1
Bolivia,National,1,America,31
Panama,Panama City,6,America,31
Papua New Guinea,Port Moresby,7,Pacific,1
Paraguay,Carreria,1,America,31
